sourceid,destid,distance,duration,duration_in_traffic
53,28,11930,1992,3357
53,29,13448,1899,3645
53,30,14654,2457,4249
53,49,13876,2329,3867
53,59,12114,1802,3392
53,113,14276,2405,4262
53,50,12024,1868,3158
53,57,8546,1413,2451
53,58,11208,1767,3021
53,79,13819,2165,3887
53,80,11014,1800,3834
53,88,13048,2097,3599
53,110,20367,3277,6145
53,62,16107,2710,4714
53,63,15824,2478,4611
53,90,16481,2429,4469
53,91,15141,2389,4333
53,92,15440,2506,4609
53,93,18327,2972,5791
53,111,14463,2526,5384
53,112,12600,2102,4371
53,114,16652,2576,4619
53,115,15806,2688,5638
53,116,16720,2985,6120
53,117,15649,2746,5839
53,89,12217,2033,4110
53,109,20017,3405,6265
53,120,22365,3718,7357
53,121,22662,3906,7557
53,77,25213,3113,6316
53,94,19696,3338,6357
53,95,27542,3638,7461
53,96,21889,3686,7317
53,100,27765,4133,7675
53,101,30477,4075,8649
53,107,28871,3684,7817
53,108,22148,3629,7179
53,97,25459,3739,6650
53,98,27406,3577,7105
53,99,28360,3656,7466
53,103,30754,4261,7800
53,104,25217,4298,8265
53,105,24117,4221,8226
53,106,23879,4067,8071
53,125,25546,4265,8278
53,126,34788,4335,8648
53,127,33872,4152,8276
53,128,34774,4085,8101
53,131,34574,4538,8038
53,122,22900,3930,7645
53,123,23579,4004,7878
53,124,24588,4155,8084
53,132,34465,4521,8110
53,133,26067,4306,8051
53,134,24969,4086,7636
53,157,25112,4047,7703
53,158,26492,4262,8147
53,135,21492,3677,7731
53,136,23587,3696,6918
53,137,30250,3952,8123
53,138,29698,3854,7930
53,139,19488,3418,7272
53,140,19982,3427,7311
53,141,23811,3834,7133
53,118,16996,3058,6543
53,119,20508,3440,6456
53,142,20146,3514,7814
53,143,18904,3249,7346
53,144,26567,3874,7909
53,145,26649,3793,8021
53,153,26330,3772,7757
53,155,31091,4586,9482
53,156,25464,4174,7688
53,154,29767,4372,9195
53,162,32745,4955,10227
53,163,32099,4853,10149
53,164,21802,3777,8475
53,161,28800,4602,8657
53,165,29485,4545,9779
53,166,28376,4234,9080
53,167,28540,4251,8878
53,180,28492,4383,9355
53,181,30780,4419,9825
53,182,31494,4604,10025
53,146,25407,3706,8000
53,147,24377,3570,7558
53,148,18788,3014,5945
53,151,22304,3054,6309
53,152,24256,3498,7275
53,178,27869,3899,8529
53,173,21792,2923,5940
53,176,24215,3400,7527
53,168,26979,3900,8379
53,169,26862,3885,7970
53,179,26954,4017,8838
53,149,16297,2847,4829
53,150,15969,2279,4552
53,82,5589,1201,1922
53,83,7731,1400,2069
53,84,10628,1854,3153
53,85,7954,1482,2342
53,174,20717,2712,5525
53,175,24722,3332,7419
53,186,29291,4204,9041
53,187,27635,3885,8347
53,188,25512,3497,7560
53,189,24823,3443,7444
53,190,23129,3182,6290
53,191,23814,3457,6707
53,193,28906,4114,8833
53,184,33722,5069,10512
53,185,30372,4367,9559
53,192,28473,4094,8714
53,194,32046,4541,9514
53,195,29939,4284,9282
53,196,34468,5019,10203
53,1,27783,3107,5851
53,52,3947,919,1294
53,129,35185,4316,8636
53,170,25836,3803,8153
53,171,25169,3592,7632
53,183,32687,4684,10209
53,197,31796,4599,10124
53,177,25969,3758,7947
53,172,23361,3164,6813
53,26,7245,1344,2053
53,25,9789,1891,2954
53,86,13465,1931,3699
53,198,34070,5221,9780
54,2,25624,3096,5361
54,3,24616,3328,5526
54,4,21184,2709,4817
54,51,5971,1178,1740
54,53,2206,493,652
54,55,5552,873,1450
54,56,6392,1079,2072
54,81,8540,1539,2679
54,87,13702,1853,3511
54,10,19568,2610,4442
54,11,22698,3217,5300
54,5,17516,2801,4390
54,6,13560,1916,3143
54,7,15831,2466,4151
54,8,17576,2331,3902
54,9,20968,2960,4944
54,130,34599,4428,8406
54,159,37820,4910,9212
54,40,30183,4361,7902
54,72,31247,4165,7793
54,16,21383,2775,4920
54,160,37462,4665,8354
54,17,20462,2693,4534
54,37,20983,2755,4899
54,38,22714,3098,5729
54,42,23222,3111,5837
54,69,25390,3384,6232
54,73,28353,3698,6858
54,12,24815,3690,6064
54,13,25525,3597,5994
54,14,27207,3953,6585
54,15,25496,3388,6286
54,39,26732,3599,6617
54,41,26547,3698,6911
54,70,26937,3746,6739
54,71,29268,4022,7221
54,102,28608,3840,6984
54,43,24364,3344,6228
54,44,23592,3244,5780
54,67,23723,3257,6124
54,68,24775,3467,6251
54,74,26759,3759,7079
54,75,25523,3577,6627
54,35,19362,2505,4382
54,36,20000,2756,4465
54,45,22388,2938,5388
54,64,20344,2784,5013
54,65,21721,2862,5258
54,66,22413,2929,5437
54,76,23225,3147,5786
54,18,18455,2381,4026
54,19,17242,2361,4013
54,20,17515,2222,3812
54,21,16520,2318,3915
54,22,14061,2154,3725
54,33,17797,2396,4076
54,34,18225,2314,4047
54,46,14907,2579,4161
54,31,12673,2128,3509
54,32,12863,2140,3496
54,47,14521,2497,4003
54,48,13200,2306,3726
54,60,12847,1985,3730
54,61,14156,2371,4210
54,78,13121,1937,3726
54,23,11474,1927,3013
54,24,12411,1793,3096
54,27,7738,1461,2270
54,28,9889,1798,2937
54,29,10004,1633,2744
54,30,12628,2150,3537
54,49,11947,1865,3058
54,59,11004,1591,3098
54,113,13160,2192,3910
54,50,10915,1657,2864
54,57,7437,1202,2116
54,58,10092,1554,2647
54,79,12703,1952,3576
54,80,9905,1589,3475
54,88,11931,1885,3219
54,110,19100,3088,6093
54,62,15415,2521,4074
54,63,14685,2221,4251
54,90,15365,2216,4165
54,91,14032,2178,4034
